ensembl_gene_id	hgnc_symbol	chromosome_name	start_position	end_position	band	gene_biotype
ENSG00000251282		17	74730199	74733413	q25.1	lincRNA
ENSG00000250022		17	75464643	75468852	q25.3	lincRNA
ENSG00000249845		17	75543023	75559325	q25.3	lincRNA
ENSG00000249218		17	75718954	75724641	q25.3	lincRNA
ENSG00000248706		17	77889984	77900524	q25.3	lincRNA
ENSG00000250297		17	78313698	79329659	q25.3	lincRNA
ENSG00000247501		17	78775440	78779420	q25.3	lincRNA
ENSG00000246747		17	79604197	79606203	q25.3	lincRNA
ENSG00000247329		17	79885705	79888628	q25.3	lincRNA
ENSG00000248630		17	80172103	80175228	q25.3	lincRNA
ENSG00000245410		17	80200543	80203317	q25.3	lincRNA
ENSG00000244773		17	80247922	80250690	q25.3	lincRNA
ENSG00000250554		2	243173849	243175523	q37.3	lincRNA
ENSG00000247886		2	3616113	3622828	p25.3	lincRNA
ENSG00000246332		2	10702421	10706471	p25.1	lincRNA
ENSG00000247111		2	20646835	20648681	p24.1	lincRNA
ENSG00000248732		2	24281863	24284864	p23.3	lincRNA
ENSG00000248793		2	27505301	27526416	p23.3	lincRNA
ENSG00000250181		2	28312740	28374442	p23.2	lincRNA
ENSG00000250468		2	28371422	28429830	p23.2	lincRNA
ENSG00000248067		2	30670139	30864109	p23.1	lincRNA
ENSG00000251140		2	42837783	42842116	p21	lincRNA
ENSG00000250390		2	44286099	44294916	p21	lincRNA
ENSG00000248111		2	54080050	54087068	p16.2	lincRNA
ENSG00000249397		2	54346221	54353753	p16.2	lincRNA
ENSG00000248316		2	55196736	55199154	p16.1	lincRNA
ENSG00000250445		2	58236367	58245216	p16.1	lincRNA
ENSG00000245247		2	61159963	61163467	p16.1	lincRNA
ENSG00000250876		2	62193535	62603410	p15	lincRNA
ENSG00000248894		2	70016684	70026080	p13.3	lincRNA
ENSG00000249414		2	70157400	70167775	p13.3	lincRNA
ENSG00000251047		2	70240355	70244758	p13.3	lincRNA
ENSG00000246813		2	73181268	73193366	p13.2	lincRNA
ENSG00000246432		2	73511662	73518113	p13.1	lincRNA
ENSG00000251346		2	73927556	73934687	p13.1	lincRNA
ENSG00000245500		2	74378365	74381319	p13.1	lincRNA
ENSG00000245942		2	74881379	74909182	p13.1	lincRNA
ENSG00000250112		2	85291257	85294470	p11.2	lincRNA
ENSG00000250117		2	85514761	85519567	p11.2	lincRNA
ENSG00000250759		2	86200673	86203652	p11.2	lincRNA
ENSG00000248011		2	86726716	86729774	p11.2	lincRNA
ENSG00000250262		2	87749037	87758508	p11.2	lincRNA
ENSG00000246515		2	97584843	97591573	q11.2	lincRNA
ENSG00000245679		2	98372803	98375517	q11.2	lincRNA
ENSG00000246929		2	101635004	101637620	q11.2	lincRNA
ENSG00000246943		2	101768122	101771872	q11.2	lincRNA
ENSG00000250054		2	102578518	102603629	q11.2	lincRNA
ENSG00000251444		2	106209555	106227016	q12.2	lincRNA
ENSG00000245580		2	106509525	106510705	q12.2	lincRNA
ENSG00000251207		2	114415480	114416267	q14.1	lincRNA
ENSG00000250440		2	114464370	114467816	q14.1	lincRNA
ENSG00000248248		2	119357361	119360542	q14.2	lincRNA
ENSG00000249674		2	120975056	120977718	q14.2	lincRNA
ENSG00000250457		2	128317620	128322364	q14.3	lincRNA
ENSG00000250519		2	129622179	129626301	q14.3	lincRNA
ENSG00000248650		2	152194344	152235885	q23.3	lincRNA
ENSG00000245949		2	157193084	157198632	q24.1	lincRNA
ENSG00000249640		2	170890513	170901678	q31.1	lincRNA
ENSG00000250738		2	172167776	172170351	q31.1	lincRNA
ENSG00000246946		2	178415235	178417504	q31.2	lincRNA
ENSG00000246348		2	190728385	190734541	q32.2	lincRNA
ENSG00000245033		2	191798138	191800014	q32.2	lincRNA
ENSG00000245478		2	197015987	197019605	q32.3	lincRNA
ENSG00000247626		2	198570094	198572227	q33.1	lincRNA
ENSG00000249625		2	219027570	219031685	q35	lincRNA
ENSG00000250676		2	223759419	223764190	q36.1	lincRNA
ENSG00000245519		2	232263067	232265873	q37.1	lincRNA
ENSG00000248298		2	232362229	232370073	q37.1	lincRNA
ENSG00000244981		7	1094996	1099548	p22.3	lincRNA
ENSG00000249802		7	1131264	1133445	p22.3	lincRNA
ENSG00000251104		7	4807257	4811074	p22.1	lincRNA
ENSG00000250639		7	5355928	5358918	p22.1	lincRNA
ENSG00000248675		7	10489448	10601205	p21.3	lincRNA
ENSG00000248523		7	12628112	12634824	p21.3	lincRNA
ENSG00000251524		7	20175690	20178822	p21.1	lincRNA
ENSG00000249561		7	23045904	23427225	p15.3	lincRNA
ENSG00000248357		7	27495996	27498410	p15.2	lincRNA
ENSG00000249110		7	28777534	28849202	p14.3	lincRNA
ENSG00000251425		7	30423846	31251070	p14.3	lincRNA
ENSG00000251528		7	34979763	34981312	p14.3	lincRNA
ENSG00000244971		7	38342383	38345247	p14.1	lincRNA
ENSG00000250924		7	38381216	38418238	p14.1	lincRNA
ENSG00000249078		7	39893117	39894854	p14.1	lincRNA
ENSG00000249805		7	43670759	43683421	p13	lincRNA
ENSG00000250121		7	44059560	44065967	p13	lincRNA
ENSG00000248258		7	50518334	50521012	p12.1	lincRNA
ENSG00000245903		7	56041323	56061616	p11.2	lincRNA
ENSG00000249499		7	63174051	63175663	q11.21	lincRNA
ENSG00000245043		7	64533485	64541641	q11.21	lincRNA
ENSG00000248460		7	64600749	65235797	q11.21	lincRNA
ENSG00000246837		7	65399403	65403199	q11.21	lincRNA
ENSG00000245589		7	65617658	65619549	q11.21	lincRNA
ENSG00000249705		7	65246525	66007536	q11.21	lincRNA
ENSG00000249354		7	65908393	65917175	q11.21	lincRNA
ENSG00000251536		7	66172047	66175966	q11.21	lincRNA
ENSG00000247634		7	66415756	66440289	q11.21	lincRNA
ENSG00000250736		7	74440311	74445485	q11.23	lincRNA
ENSG00000248661		7	75636113	75908576	q11.23	lincRNA
ENSG00000249657		7	79085481	79096779	q21.11	lincRNA
ENSG00000249009		7	87075330	87214789	q21.12	lincRNA
ENSG00000244947		7	90893679	90898027	q21.13	lincRNA
ENSG00000245682		7	92319294	92322159	q21.2	lincRNA
ENSG00000248129		7	95783627	95786386	q21.3	lincRNA
ENSG00000250824		7	97525011	97608669	q21.3	lincRNA
ENSG00000229811		7	97937197	97939753	q21.3	lincRNA
ENSG00000246952		7	99172024	99174072	q22.1	lincRNA
ENSG00000245883		7	99517494	99522910	q22.1	lincRNA
ENSG00000248976		7	102213835	102220258	q22.1	lincRNA
ENSG00000248741		7	102312908	102319318	q22.1	lincRNA
ENSG00000247285		7	112723284	112727810	q31.1	lincRNA
ENSG00000245805		7	128095957	128098471	q32.1	lincRNA
ENSG00000248549		7	128768553	128835941	q32.1	lincRNA
ENSG00000248239		7	129959373	129982742	q32.2	lincRNA
ENSG00000249817		7	129994578	129997009	q32.2	lincRNA
ENSG00000245606		7	130007190	130009387	q32.2	lincRNA
ENSG00000246011	MEST-IT	7	130126898	130131013	q32.2	lincRNA
ENSG00000246068		7	130781775	131157706	q32.3	lincRNA
ENSG00000250459		7	133485246	133509641	q33	lincRNA
ENSG00000248289		7	134502003	134511072	q33	lincRNA
ENSG00000247079		7	138706245	138720833	q34	lincRNA
ENSG00000248427		7	139350715	139361629	q34	lincRNA
ENSG00000244854		7	140037709	140040016	q34	lincRNA
